name,website_url,city,state,program_type,cohort_frequency,duration,check_size,equity,industries,stage_focus,notable_portfolio_companies,last_cohort_date,application_url
Y Combinator,https://www.ycombinator.com,Mountain View,CA,accelerator,2 times per year (Winter and Summer),3 months,"$500,000",$125k for 7% and $375k on an uncapped MFN SAFE,"Agnostic, AI, SaaS, Fintech, Biotech, Consumer, B2B",Early-stage / Seed,"Airbnb, Stripe, DoorDash, Coinbase, Instacart",Winter 2026 (Demo Day March 2026),https://www.ycombinator.com/apply
Techstars,https://www.techstars.com,Boulder,CO,accelerator,Varies by city (multiple programs year-round),3 months,"$120,000",$20k for 6% equity; optional $100k convertible note,"Agnostic, Fintech, Healthtech, Proptech, Web3, Sustainability",Pre-seed / Seed,"SendGrid, DigitalOcean, Zipline, Chainalysis, PillPack",Spring 2026 (ongoing),https://www.techstars.com/apply
500 Global,https://500.co,Palo Alto,CA,accelerator,Multiple times per year,4 months,"$150,000",$150k for 6% equity (minus $37.5k program fee),"Agnostic, B2B, Consumer, Fintech, Healthtech, Marketplaces",Early-stage / Seed,"Canva, Grab, Talkdesk, Credit Karma, Udemy",Early 2026,https://500.co/flagship
MassChallenge,https://masschallenge.org,Boston,MA,accelerator,Annual,3-4 months,Zero-equity; $1M+ in non-dilutive cash prizes annually,0%,"Agnostic, Fintech, Healthtech, Social Impact, Sustainability",Early-stage,"Ginkgo Bioworks, Flywire, Localytics, Handy, Tive",2026 (Ongoing applications),https://masschallenge.org/apply
Plug and Play,https://www.plugandplaytechcenter.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.plugandplaytechcenter.com
VentureOut,http://ventureoutny.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://ventureoutny.com
IQT,https://www.iqt.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.iqt.org
SOSV,https://sosv.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://sosv.com
StartX,http://startx.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://startx.com
Thrive Capital,http://thrivecap.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://thrivecap.com
Betaworks,https://www.betaworks.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.betaworks.com
Alchemist Accelerator,http://www.alchemistaccelerator.com,San Francisco,CA,accelerator,3 times per year,6 months,"$25,000",5%,"B2B, Enterprise, AI, SaaS",Seed,"Rigetti, LaunchDarkly, Privacera",2025/2026,https://www.alchemistaccelerator.com/apply
LAUNCH,http://launch.co,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://launch.co
Innovation Works,http://www.innovationworks.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.innovationworks.org
Forum Ventures,https://www.forumvc.com,New York,NY,accelerator,2 times per year,4 months,"$100,000",7.5%,B2B SaaS,Pre-seed / Seed,"Lattice, Fireflies.ai, Scribe",2026,https://www.forumvc.com/accelerator
Ben Franklin Technology Partners of Southeastern Pennsylvania,http://www.sep.benfranklin.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.sep.benfranklin.org
AngelPad,http://www.angelpad.com,San Francisco,CA,accelerator,2 times per year,3 months,"$120,000",7%,"Agnostic, SaaS, Mobile, Marketplaces",Seed,"Postmates, Mopub, Vungle",2025,https://angelpad.org/apply
EvoNexus,http://evonexus.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://evonexus.org
NFX,http://www.nfx.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.nfx.com
SAP.iO,https://sap.io,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://sap.io
(ERA) Entrepreneurs Roundtable Accelerator,http://eranyc.com,New York,NY,accelerator,2 times per year,4 months,"$150,000",6%,"Agnostic, SaaS, Consumer, Enterprise",Early-stage,"Glint, TripleLift, Dashlane",2026,https://www.eranyc.com/apply
Idealab,http://www.idealab.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.idealab.com
Morningside,http://www.morningside.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.morningside.com
Founder Friendly Labs,http://www.joinffl.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.joinffl.com
UpWest,http://www.upwest.vc,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.upwest.vc
Capital Factory,http://www.capitalfactory.com,Austin,TX,accelerator,Rolling,6 months+,"$50,000 - $100,000",1%,"Agnostic, Defense, Healthtech",Seed,"WP Engine, Aceable, Icon",2026,https://www.capitalfactory.com/apply
SixThirty,http://www.sixthirty.co,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.sixthirty.co
SkyDeck Berkeley,https://skydeck.berkeley.edu,Berkeley,CA,accelerator,2 times per year,6 months,"$200,000",7.5%,"Agnostic, AI, Biotech, Robotics",Seed,"Squid, DeepScribe, Voxel",2026,https://skydeck.berkeley.edu/apply
CARB-X,http://www.carb-x.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.carb-x.org
Moderne Ventures,http://www.moderneventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.moderneventures.com
MIT delta v,https://entrepreneurship.mit.edu/accelerator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://entrepreneurship.mit.edu/accelerator
JumpStart Inc.,http://www.jumpstartinc.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.jumpstartinc.org
gbeta,https://www.gener8tor.com/gbeta,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.gener8tor.com/gbeta
Newchip Accelerator,https://www.newchip.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.newchip.com
Healthbox,http://www.healthbox.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.healthbox.com
UTA Ventures,https://www.unitedtalent.com/capabilities/ventures,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.unitedtalent.com/capabilities/ventures
Blueprint Health,http://www.blueprinthealth.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.blueprinthealth.org
South Park Commons,http://www.southparkcommons.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.southparkcommons.com
The House Fund,http://thehouse.fund,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://thehouse.fund
Expa,http://www.expa.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.expa.com
RSE Ventures,http://rseventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://rseventures.com
Idea Foundry,https://ideafoundry.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://ideafoundry.org
Texas Venture Labs,https://www.mccombs.utexas.edu/Centers/Texas-Venture-Labs,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.mccombs.utexas.edu/Centers/Texas-Venture-Labs
AcceliCITY powered by Leading Cities,https://leadingcities.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://leadingcities.org
SVG Ventures,https://thriveagrifood.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://thriveagrifood.com
MAGIC Fund,https://magic.fund,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://magic.fund
Quake Capital Partners,http://www.quakecapital.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.quakecapital.com
HAX,http://www.hax.co,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.hax.co
Imagine K12,http://www.imaginek12.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.imaginek12.com
Rose Tech Ventures,http://rose.vc,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://rose.vc
XRC Ventures,https://xrcventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://xrcventures.com
LearnLaunch Fund + Accelerator,https://learnlaunch.com/accelerator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://learnlaunch.com/accelerator
Restive,https://www.restive.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.restive.com
Financial Solutions Lab,http://finlab.finhealthnetwork.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://finlab.finhealthnetwork.org
Highway1,http://highway1.io,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://highway1.io
Pittsburgh Life Sciences Greenhouse,http://www.plsg.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.plsg.com
Tech Wildcatters,http://techwildcatters.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://techwildcatters.com
Cedars-Sinai Accelerator,http://www.csaccelerator.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.csaccelerator.com
Skandalaris Center for Interdisciplinary Innovation and Entrepreneurship,https://skandalaris.wustl.edu,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://skandalaris.wustl.edu
Sozo Ventures,https://www.sozoventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.sozoventures.com
AlleyCorp,https://alleycorp.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://alleycorp.com
ATDC,http://atdc.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://atdc.org
Talent Resources Ventures,https://www.tr.ventures,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.tr.ventures
Royalty Pharma,http://royaltypharma.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://royaltypharma.com
Boomtown Accelerators,http://www.boomtownaccelerators.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.boomtownaccelerators.com
PreAngel,https://preangelfund.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://preangelfund.com
Stadia Ventures,http://www.stadiaventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.stadiaventures.com
Disney Accelerator,http://disneyaccelerator.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://disneyaccelerator.com
DCU FinTech Innovation Center,https://dcufintech.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://dcufintech.org
ic@3401,http://www.ic3401.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.ic3401.org
Financial Health Network,https://finhealthnetwork.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://finhealthnetwork.org
Desafia,https://www.sanfrancisco.desafia.gob.es,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.sanfrancisco.desafia.gob.es
South Carolina Research Authority,http://www.scra.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.scra.org
Branded Hospitality,http://www.brandedstrategic.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.brandedstrategic.com
Orange DAO,https://orangedao.xyz,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://orangedao.xyz
Berkeley SkyDeck Fund,http://www.skydeck.vc,Berkeley,CA,accelerator,2 times per year,6 months,"$200,000",7.5%,"Agnostic, AI, Biotech, Robotics",Seed,"Squid, DeepScribe, Voxel",2026,https://skydeck.berkeley.edu/apply
Slater Technology Fund,http://www.slaterfund.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.slaterfund.com
BioGenerator,http://www.biogenerator.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.biogenerator.org
Tess Ventures,https://www.tessventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.tessventures.com
Interplay,http://www.interplay.vc,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.interplay.vc
North Coast Ventures,https://www.northcoast.vc,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.northcoast.vc
IDEA: Northeastern University's Venture Accelerator,http://www.northeastern.edu/idea,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.northeastern.edu/idea
The Brandery,http://brandery.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://brandery.org
Launchpad LA,http://launchpad.la,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://launchpad.la
ConsenSys Mesh,https://www.mesh.xyz,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.mesh.xyz
Alliance DAO,https://alliance.xyz,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://alliance.xyz
Fusion,https://www.fusion-vc.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.fusion-vc.com
Capital Innovators,http://capitalinnovators.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://capitalinnovators.com
43North,http://www.43north.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.43north.org
Betaspring,http://betaspring.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://betaspring.com
i/o Ventures,http://www.ventures.io,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.ventures.io
The FIS FinTech Accelerator in Partnership with The Venture Center,https://www.venturecenter.co,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.venturecenter.co
Envestnet Yodlee Incubator,https://www.yodlee.com/company/startup-incubator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.yodlee.com/company/startup-incubator
Startupbootcamp Scale Digital Health Miami,https://www.startupbootcamp.org/accelerator/scale-digital-health-miami,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.startupbootcamp.org/accelerator/scale-digital-health-miami
Startech Early Ventures,http://www.startechev.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.startechev.com
