name,website_url,city,state,program_type,cohort_frequency,duration,check_size,equity,industries,stage_focus,notable_portfolio_companies,last_cohort_date,application_url
ICONYC labs,http://iconyclabs.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://iconyclabs.com
Nex Cubed Digital Health,https://nex3.com/healthcare,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://nex3.com/healthcare
eSeed Challenge,https://entrepreneurship.engineering.asu.edu/eseed-challenge,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://entrepreneurship.engineering.asu.edu/eseed-challenge
MDJ Group,http://mdjgroup.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://mdjgroup.com
Tigerlabs,http://www.tigerlabs.co,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.tigerlabs.co
Mission Daybreak,https://www.missiondaybreak.net,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.missiondaybreak.net
PeaceTech Accelerator,http://www.c5us.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.c5us.com
10Xelerator,http://10xelerator.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://10xelerator.com
Same Page Capital,https://samepagecapital.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://samepagecapital.com
Pioneer,https://pioneer.app,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://pioneer.app
UpTech Accelerator,http://www.uptechideas.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.uptechideas.org
UVA Licensing & Ventures Group,https://lvg.virginia.edu,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://lvg.virginia.edu
FinRise,https://plaid.com/blog/plaid-accelerate-second-cohort,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://plaid.com/blog/plaid-accelerate-second-cohort
Pioneer Square Labs,http://www.pioneersquarelabs.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.pioneersquarelabs.com
Greentown Labs,http://greentownlabs.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://greentownlabs.com
Upward,https://www.moveupward.city/net-zero-lab,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.moveupward.city/net-zero-lab
Shadow Ventures,https://shadow.vc,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://shadow.vc
VoLo Earth Ventures,https://www.voloearth.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.voloearth.com
super{set},https://www.superset.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.superset.com
Chloe Capital,https://chloecapital.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://chloecapital.com
Digital Sandbox KC,http://www.digitalsandboxkc.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.digitalsandboxkc.com
ElevenX Capital,https://www.elevenxcapital.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.elevenxcapital.com
Flashstarts,http://www.flashstarts.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.flashstarts.com
VIVE X,https://www.vive.com/us/vivex,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.vive.com/us/vivex
Start Smart Labs,http://www.startsmartlabs.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.startsmartlabs.com
Accelerator Life Science Partners,http://www.acceleratorlsp.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.acceleratorlsp.com
Sputnik ATX,http://www.sputnikatx.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.sputnikatx.com
ConSensys Ventures,https://www.mesh.xyz,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.mesh.xyz
Life Sciences Greenhouse of Pennsylvania,http://www.lsgpa.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.lsgpa.com
WaterEquity,http://waterequity.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://waterequity.org
SNZ Holding,https://snzholding.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://snzholding.com
REACH,https://nar-reach.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://nar-reach.com
BCG Digital Ventures,http://www.bcgdv.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.bcgdv.com
The Founders Arena,https://thefoundersarena.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://thefoundersarena.com
Bishop Ranch Intelligence Innovation Accelerator,http://briia.io,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://briia.io
SeedSumo,http://seedsumo.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://seedsumo.com
Ameren Accelerator,https://www.amerenaccelerator.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.amerenaccelerator.com
Sage Partners,http://www.sagepartners.net,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.sagepartners.net
Draper University Ventures,https://www.draperuniversity.com/investments,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.draperuniversity.com/investments
Cache Ventures,http://cacheventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://cacheventures.com
Fuel,https://www.fuelaccelerator.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.fuelaccelerator.com
Illumina Accelerator,https://www.illumina.com/accelerator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.illumina.com/accelerator
Pivotal Ventures,https://www.pivotalventures.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.pivotalventures.org
Kauffman Fellows Fund,http://www.kauffmanfellows.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.kauffmanfellows.org
Beacon,https://www.0xbeacon.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.0xbeacon.com
Comcast RISE,https://www.comcastrise.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.comcastrise.com
Batchery,http://www.batchery.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.batchery.com
WeWork Labs,https://www.wework.com/labs,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.wework.com/labs
Matter,http://matter.vc,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://matter.vc
Started Accelerator,http://www.started.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.started.com
Upstart Labs,http://www.upstartlabs.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.upstartlabs.com
Lofty Ventures,http://loftyventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://loftyventures.com
Harvard Innovation Labs,https://innovationlabs.harvard.edu,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://innovationlabs.harvard.edu
DOE Loan Programs Office,http://www.energy.gov/LPO,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.energy.gov/LPO
Accelerate,https://accelerate.us,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://accelerate.us
Zokyo,https://www.zokyo.io,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.zokyo.io
Leap Venture Studio,https://www.leapventurestudio.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.leapventurestudio.com
ASU Venture Devils,https://entrepreneurship.asu.edu/launch/venture-devils,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://entrepreneurship.asu.edu/launch/venture-devils
Lamp Post Group,http://www.lamppostgroup.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.lamppostgroup.com
Ying Fund,https://www.theyingfund.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.theyingfund.com
Starta Accelerator,http://startaventures.com/startaaccelerate,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://startaventures.com/startaaccelerate
Elmspring Accelerator,http://www.elmspringchicago.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.elmspringchicago.com
Fc Centripetal,https://www.fcmv2r.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.fcmv2r.com
ShangPharma Innovation,https://www.spiivc.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.spiivc.com
Reach Ventures,https://myreach.io,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://myreach.io
Consortium For Technology & Innovation in Pediatrics,https://www.westcoastctip.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.westcoastctip.org
PearX,https://www.pear.vc/accelerator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.pear.vc/accelerator
Impact Ventures,https://impact-ventures.co/accelerator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://impact-ventures.co/accelerator
VertueLab,https://vertuelab.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://vertuelab.org
GrowthX Accelerator,https://www.microsoft.com/MEA/startups/growthxaccelerator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.microsoft.com/MEA/startups/growthxaccelerator
Chobani Food Incubator,https://www.chobani.com/impact/incubator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.chobani.com/impact/incubator
AWS Healthcare Accelerator,https://www.alchemistaccelerator.com/aws-healthcare-accelerator#cohort,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.alchemistaccelerator.com/aws-healthcare-accelerator#cohort
Disruptive Labs,https://www.disruptivelabs.io,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.disruptivelabs.io
Berkeley Ventures,http://berkeleyventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://berkeleyventures.com
Advanced Industries Accelerator,https://choosecolorado.com/doing-business/advanced-industries,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://choosecolorado.com/doing-business/advanced-industries
YouWeb,http://www.youwebinc.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.youwebinc.com
One Mind Accelerator,https://onemind.org/accelerator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://onemind.org/accelerator
Z80 Labs Technology Incubator,http://z80labs.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://z80labs.com
Sequoia Arc,https://www.sequoiacap.com/article/sequoia-arc-outliers-wanted,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.sequoiacap.com/article/sequoia-arc-outliers-wanted
HMC INQ,https://hmcinq.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://hmcinq.com
Haus Capital,https://www.hauscap.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.hauscap.com
Silicon Valley Ventures,http://siliconvalleyventures.vc,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://siliconvalleyventures.vc
INCISENT Labs,http://www.incisentlabs.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.incisentlabs.com
AlphaLab Gear,http://alphalabgear.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://alphalabgear.org
Ridgebox,https://ridgebox.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://ridgebox.com
Jennus Innovation,http://www.jennusinnovation.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.jennusinnovation.com
EMERGE CoLab,http://emerge.technexus.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://emerge.technexus.com
OCEAN Accelerator,http://www.oceanprograms.com/accelerator,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.oceanprograms.com/accelerator
Cleantech Open Northeast,http://northeast.cleantechopen.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://northeast.cleantechopen.org
Hayseed Ventures,https://www.hayseedventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.hayseedventures.com
Project Music,http://ec.co/project-music,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://ec.co/project-music
Women's Capital Connection,http://www.womenscapitalconnection.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.womenscapitalconnection.com
JLABS,http://jlabs.jnjinnovation.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://jlabs.jnjinnovation.com
gBETA Medtech,https://www.gbetamedtech.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.gbetamedtech.com
Collaborative Ventures,http://collaborative-ventures.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://collaborative-ventures.com
Sponsor Us,https://www.passionfroot.me/failory,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.passionfroot.me/failory
Consultancy,https://calendly.com/cerdeira/60-min-strategy-call,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://calendly.com/cerdeira/60-min-strategy-call
Personal Twitter,https://twitter.com/nicocerdeira,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://twitter.com/nicocerdeira
